HMTAFSTNL,x,y,dp
78500.0,66122.29580000043,402779.8588999994,785.0
78550.0,66117.14889999852,402829.5931000002,785.5
78600.0,66111.69990000129,402879.29520000145,786.0
78650.0,66106.34580000117,402929.0058000013,786.5
78700.0,66100.5036999993,402978.6425999999,787.0
78750.0,66091.73759999871,403027.8502999991,787.5
78800.0,66058.0626000017,403061.2767999992,788.0
78850.0,66015.82580000162,403088.0216999985,788.5
78900.0,65972.60159999877,403112.9554999992,789.0
78950.0,65926.24529999867,403131.03449999914,789.5
79000.0,65884.9208999984,403158.35130000114,790.0
79050.0,65837.01700000092,403172.66330000013,790.5
79100.0,65789.09329999983,403186.9195000008,791.0
79150.0,65741.12269999832,403201.0124000013,791.5
79200.0,65693.24210000038,403215.39660000056,792.0
79250.0,65645.10029999912,403228.8574000001,792.5
79300.0,65596.28489999846,403239.66519999877,793.0
79350.0,65547.46049999818,403250.43239999935,793.5
79400.0,65498.6950000003,403261.4651999995,794.0
79450.0,65449.90740000084,403272.3953999989,794.5
79500.0,65401.10000000149,403283.22619999945,795.0
79550.0,65352.39719999954,403294.51839999855,795.5
79600.0,65303.77739999816,403306.1834000014,796.0
79650.0,65255.059799999,403317.41330000013,796.5
79700.0,65206.20630000159,403328.04239999875,797.0
79750.0,65157.29300000146,403338.40619999915,797.5
79800.0,65108.246599998325,403348.11030000076,798.0
79850.0,65059.286200001836,403358.2393999994,798.5
79900.0,65010.49159999937,403369.15129999816,799.0
79950.0,64961.60579999909,403379.6392999999,799.5
80000.0,64912.726500000805,403390.1462999992,800.0
80050.0,64863.88589999825,403400.8341999985,800.5
80100.0,64814.683899998665,403408.73959999904,801.0
80150.0,64781.1678000018,403372.07550000027,801.5
80200.0,64744.24980000034,403338.9043000005,802.0
80250.0,64696.55050000176,403325.1986999996,802.5
80300.0,64647.85080000013,403333.7895000018,803.0
80350.0,64603.39130000025,403356.60539999977,803.5
80400.0,64559.83549999818,403381.14979999885,804.0
80450.0,64515.840500000864,403404.8979000002,804.5
80500.0,64472.21539999917,403429.29989999905,805.0
80550.0,64426.99439999834,403450.51150000095,805.5
80600.0,64379.52089999989,403466.1933000013,806.0
80650.0,64331.485199999064,403479.97839999944,806.5
80700.0,64282.49980000034,403489.9642000012,807.0
80750.0,64233.33460000157,403499.0502999984,807.5
80800.0,64183.84160000086,403505.9800999984,808.0
80850.0,64134.07589999959,403503.0139000006,808.5
80900.0,64084.92650000006,403493.9327000007,809.0
80950.0,64035.88560000062,403484.2056999989,809.5
81000.0,63987.4012000002,403472.01359999925,810.0
81050.0,63939.43470000103,403457.9136000015,810.5
81100.0,63891.596799999475,403443.3696000017,811.0
81150.0,63843.76009999961,403428.8324000016,811.5
81200.0,63796.0223999992,403413.96550000086,812.0
81250.0,63748.02039999887,403399.9866000004,812.5
81300.0,63699.68780000135,403387.2166999988,813.0
81350.0,63650.76729999855,403377.08579999954,813.5
81400.0,63600.91899999976,403373.40790000185,814.0
81450.0,63550.94729999825,403371.756000001,814.5
81500.0,63500.992800001055,403369.71489999816,815.0
81550.0,63451.4924999997,403362.92969999835,815.5
