dp,dsn_file_tif
804.5,data\deltaversterking\dsn14_flipped.tif
809.4,data\deltaversterking\dsn13_flipped.tif
812.5,data\deltaversterking\dsn12_flipped.tif
818.1,data\deltaversterking\dsn10_flipped.tif
829.8,data\deltaversterking\dsn9_flipped.tif
837.4,data\deltaversterking\dsn8_flipped.tif
843.5,data\deltaversterking\dsn7_flipped.tif
846.7,data\deltaversterking\dsn6_flipped.tif
854.5,data\deltaversterking\dsn5_flipped.tif
857.3,data\deltaversterking\dsn4_flipped.tif
863.5,data\deltaversterking\dsn3_flipped.tif
865.0,data\deltaversterking\dsn2_flipped.tif
868.0,data\deltaversterking\dsn1_flipped.tif
