dp,dsn_file_tif
804.5,deltaversterking\dsn14_flipped.tif
809.4,deltaversterking\dsn13_flipped.tif
812.5,deltaversterking\dsn12_flipped.tif
818.1,deltaversterking\dsn10_flipped.tif
829.8,deltaversterking\dsn9_flipped.tif
837.4,deltaversterking\dsn8_flipped.tif
843.5,deltaversterking\dsn7_flipped.tif
846.7,deltaversterking\dsn6_flipped.tif
854.5,deltaversterking\dsn5_flipped.tif
857.3,deltaversterking\dsn4_flipped.tif
863.5,deltaversterking\dsn3_flipped.tif
865.0,deltaversterking\dsn2_flipped.tif
868.0,deltaversterking\dsn1_flipped.tif
