bro_identifier,broId,tubeNumber,constructionStandard,coordinateTransformation,corrected,deliveredLocation,deliveryAccountableParty,deliveryContext,deregistered,groundLevelPosition,groundLevelPositioningMethod,groundLevelStable,horizontalPositioningMethod,id,initialFunction,localVerticalReferencePoint,numberOfMonitoringTubes,objectRegistrationTime,offset,owner,qualityRegime,registrationStatus,removed,reregistered,standardizedLocation,underReview,verticalDatum,wellCode,wellConstructionDate,wellHeadProtector,withPrehistory,latestCorrectionTime,tubeType,artesianWellCapPresent,sedimentSumpPresent,numberOfGeoOhmCables,tubeTopDiameter,variableDiameter,tubeStatus,tubeTopPosition,tubeTopPositioningMethod,tubePartInserted,tubeInUse,tubePackingMaterial,tubeMaterial,glue,screenLength,sockMaterial,screenTopPosition,screenBottomPosition,plainTubePartLength,sedimentSumpLength,x,y,geometry,ref_distance,dp,distance_to_ref,region
GMW000000064173-1,GMW000000064173,1,NEN5104,RDNAPTRANS2018,nee,POINT (66087.627 402728.068),51640813,publiekeTaak,nee,0.485,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2023-01-23T11:39:17+01:00,0,27114147,IMBRO,geregistreerd,nee,nee,POINT (4.103669947 51.606390485),nee,NAP,GMW43C136758,2022-11-25,potNietWaterdicht,nee,,standaardbuis,ja,nee,0,25,nee,gebruiksklaar,0.385,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-0.315,-1.315,0.7,,66087.627,402728.068,POINT (66087.627 402728.068),78437.0,784.37,-30.560606873177797,Os
GMW000000064174-1,GMW000000064174,1,NEN5104,RDNAPTRANS2018,nee,POINT (66063.802 402740.143),51640813,publiekeTaak,nee,0.552,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2023-01-23T11:39:18+01:00,0,27114147,IMBRO,geregistreerd,nee,nee,POINT (4.103323022 51.606495225),nee,NAP,GMW43C136759,2022-12-01,potNietWaterdicht,nee,,standaardbuis,ja,nee,0,25,nee,gebruiksklaar,0.432,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-0.448,-1.448,0.88,,66063.802,402740.143,POINT (66063.802 402740.143),78443.0,784.43,-56.80048338110289,Os
GMW000000064635-1,GMW000000064635,1,NEN5104,RDNAPTRANS2018,nee,POINT (70954.224 392370.279),51640813,publiekeTaak,nee,3.112,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2023-02-17T10:40:15+01:00,0,27114147,IMBRO,geregistreerd,nee,nee,POINT (4.176392975 51.514054849),nee,NAP,GMW49B137309,2022-09-29,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,3.062,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,0.112,-0.888,2.95,1.0,70954.224,392370.279,POINT (70954.224 392370.279),108150.0,1081.5,16.003035344931135,Os
GMW000000064641-1,GMW000000064641,1,NEN5104,RDNAPTRANS2018,nee,POINT (70959.858 392366.996),51640813,publiekeTaak,nee,4.737,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2023-02-17T10:40:19+01:00,0,27114147,IMBRO,geregistreerd,nee,nee,POINT (4.176474909 51.514026185),nee,NAP,GMW49B137315,2022-09-08,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,4.687,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-1.263,-2.263,5.95,1.0,70959.858,392366.996,POINT (70959.858 392366.996),108151.0,1081.51,9.51157758188088,Os
GMW000000082197-1,GMW000000082197,1,NEN5104,RDNAPTRANS2018,nee,POINT (51425.398 406745.471),51640813,WW,nee,9.27,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2024-04-03T21:13:58+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.890880284 51.639977412),nee,NAP,GMW42H143076,2020-07-25,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,9.139,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-13.731,-14.731,22.87,1.0,51425.398,406745.471,POINT (51425.398 406745.471),18001.0,180.01,-1.7565350593564102,Os
GMW000000082198-1,GMW000000082198,1,NEN5104,RDNAPTRANS2018,nee,POINT (50859.728 408701.817),51640813,WW,nee,3.05,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,2,2024-04-03T21:13:59+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.882126759 51.657452311),nee,NAP,GMW42H143077,2020-09-01,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,2.949,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-9.951,-10.951,12.9,1.0,50859.728,408701.817,POINT (50859.728 408701.817),15799.0,157.99,-18.388929152421873,Os
GMW000000082198-2,GMW000000082198,2,NEN5104,RDNAPTRANS2018,nee,POINT (50859.728 408701.817),51640813,WW,nee,3.05,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,2,2024-04-03T21:13:59+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.882126759 51.657452311),nee,NAP,GMW42H143077,2020-09-01,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,2.98,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-0.95,-1.95,3.93,1.0,50859.728,408701.817,POINT (50859.728 408701.817),15799.0,157.99,-18.388929152421873,Os
GMW000000082199-1,GMW000000082199,1,NEN5104,RDNAPTRANS2018,nee,POINT (50853.353 408687.456),51640813,WW,nee,7.82,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,2,2024-04-03T21:14:00+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.882038945 51.65732208),nee,NAP,GMW42H143078,2020-09-07,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,7.74,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-10.18,-11.18,17.92,1.0,50853.353,408687.456,POINT (50853.353 408687.456),15799.0,157.99,-2.6775798473803807,Os
GMW000000082199-2,GMW000000082199,2,NEN5104,RDNAPTRANS2018,nee,POINT (50853.353 408687.456),51640813,WW,nee,7.82,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,2,2024-04-03T21:14:00+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.882038945 51.65732208),nee,NAP,GMW42H143078,2020-09-07,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,7.76,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-0.18,-1.18,7.94,1.0,50853.353,408687.456,POINT (50853.353 408687.456),15799.0,157.99,-2.6775798473803807,Os
GMW000000082200-1,GMW000000082200,1,NEN5104,RDNAPTRANS2018,nee,POINT (51385.639 407227.792),51640813,WW,nee,8.82,tachymetrie0tot10cm,ja,RTKGPS5tot10cm,BRO_0003,stand,NAP,1,2024-04-03T21:14:02+02:00,0,51640813,IMBRO,geregistreerd,nee,nee,POINT (3.890162853 51.644304207),nee,NAP,GMW42H143079,2020-08-19,potNietWaterdicht,nee,,standaardbuis,ja,ja,0,25,nee,gebruiksklaar,8.7,RTKGPS4tot10cm,nee,onbekend,filtergrind,pvc,geen,1,geen,-9.18,-10.18,17.88,1.0,51385.639,407227.792,POINT (51385.639 407227.792),17501.0,175.01,-1.5771020704931442,Os
